Toimittaja;Osto
KLINGGRUPPEN / FROG GROUP OY;5479.99
KLP SERVICE OY;880.0
KMH DAMATEC OY;888.0
KNX FINLAND RY_x;500.0
KOILLIS-TELE KY;226.29
KOILLISMAAN AUTOKATSASTUS OY;3952.3199999999997
KOILLISMAAN AUTOPALVELU OY;2899.06
KOILLISMAAN AUTOSÄHKÖ- JA;8370.15
KOILLISMAAN JOUSIAMPUJAT RY;200.0
KOILLISMAAN METALLIPAJA OY;260.16
KOILLISMAAN OSUUSKAUPPA;1501.99
KOILLISMAAN OVI- JA TURVALLI;2044.31
KOILLISMAAN TURISTIAUTO OY;1526.55
KOILLISMOTOR OY;7992.9400000000005
KOILLISSÄHKÖ OY;109.09
KOIVISTON AUTO OY;3632.0
KOIVUKUJA YHTIÖT OY;2345.0
KOIVUNEN OY;2371.71
KOKKOLAN HALPA-HALLI OY/LIMINK;3626.68
KOKKOLAN TYÖKALUÄSSÄ OY;1808.0
KOLARIKORJAUS SAILOKOSKI OY;600.0
KOLARIN KUNTA;240.0
KOLME MUSKETTIKOIRAA OY;3272.37
KOMATSU FOREST OY;385087.19
KONE HEKKALA OY;1782.0
KONE HIETALA OY;2028.0
KONE HYRKÄS OY;3124.0
KONE JARE OY;1816.77
KONE-JA VIHERTYÖ HAAPA-AHO OY/;4790.0
KONECON OY;2272.81
KONECRANES FINLAND OY;4318.68
KONEHUOLTO KAARRE OY;804.03
KONEHUOLTO MIKA JAAKOLA OY;40220.57
KONEHUOLTO OLLAKKA OY;2364.0
KONEHUOLTO PYYKKÖNEN OY;4354.95
KONEHUOLTO SAULI PARVIAINEN OY;1873.4099999999999
KONEKORJAAMO RIIKONEN OY;97676.61
KONEPALVELU KUIVAS OY;1722.0
KONEPALVELU MÄLÄSKÄ OY;662.0
KONERAISER OY;300.0
KONESEPÄT OULU OY;2406.9900000000002
KONETIEN KATSASTUS OY / MUHOS;1974.69
KONETYÖ M.VIMPARI KY;400.0
KONETYÖ SAARELA KY;1476.0
KONEUNION OY;632.21
KONEURAKOINTI ANTERO MUSTAKANG;738.0
KONEURAKOINTI HARTIKKA OY;600.0
KONEURAKOINTI KIMMEX OY;1230.0
KONEURAKOINTI MAANINEN OY;1100.0
KONEURAKOINTI MÄKÄRÄINEN OY;1968.0
KONEURAKOINTI NURMELA OY;492.0
KONEURAKOINTI PÄÄTALO OY;1476.0
KONEURAKOINTI S. KUITTINEN OY;16.0
KONEYHTYMÄ MARTTALA OY;738.0
KONICA MINOLTA BUSINESS SOLUTI;31643.65
KONSULTOINTI KARHULAT OY;2434.11
KONSULTTITOIMISTO CADLINK OY;43.82
KONTIOTUOTE OY;8714.51
KOPIOSTO RY;9886.82
KORJAAMOMAAILMA OY;840.0
KOSKEN KONE OY;1395.3
KOSKIKULJETUS OY;532.0
KOSKILINJAT;9270.0
KOSKITRAKTORI OY;33117.85
KOTIKATU OY/KOULKORV;4037.0
KOTILOVE OY;888.0
KOTIRUHTINAS OY;70.0
KOTIVARA YHTIÖT OY;250.0
KOUHIAN SAHA KY;10697.2
KOULUELEKTRONIIKKA OY;1339.3000000000002
KOULUTUSKESKUS SALPAUS-KUNTAYH;855.0
KPMG OY AB;455951.62999999995
KRANBELTS OY;3892.6
KREATE OY;392.0
KS-TARVIKE OY;2443.34
KSAKKI RY;1060.0
KT PALOTURVAPALVELUT OY;80.0
KTC GROUP OY;1516.0
KTI LASKUTUS OY;1004.34
KUHMON RAKENNUSPOJAT OY;300.0
KUIVAKSEN LEIPOMO OY;25471.170000000002
KUJALAN TILA OY;2952.0
KUKKAKAUPPA KANERVA KY;765.79
KUKKAKAUPPA MIA-MARIA OY;2435.52
KUKKAKAUPPA MINNA EKDAHL OY;300.0
KUKKOLASSE OY;1500.0
KULAMAAN AUTO;1155.38
KULJETUS HÄKKILÄ OY;100.0
KULJETUS JII-KOO OY;262.0
KULJETUS KASSINEN OY;3241.04
KULJETUS LOHILAHTI OY;550.0
KULJETUS PALOSAARI OY;80.0
KULJETUS RAUTIAINEN OY;16.0
KULJETUS ROMPPAINEN OY;2944.0
KULJETUS SAMPO PUURUNEN OY;640.0
KULJETUS TAVASTI OY;738.0
KULJETUS WEST LINE OY;304.0
KULJETUS YLIKOPSA OY;1130.0
KULJETUSLIIKE BACKMAN OY;7742.05
KULJETUSLIIKE E. LEPISTÖ OY;160.0
KULJETUSLIIKE ESKOLA OY;500.0
KULJETUSLIIKE ILMARI LEHTONEN;500.0
KULJETUSLIIKE KUISMA OY;300.0
KULJETUSLIIKE MARKKU JUNTUNEN;900.0
KULJETUSLIIKE O. PELKONEN OY;738.0
KULJETUSLIIKE PENTTI ÄIJÄLÄ OY;1984.0
KULJETUSLIIKE PU-VAP OY;1300.0
KULJETUSLIIKE RIEKKI OY;200.0
KULJETUSPALVELUT NURMI OY;1176.0
KULJETUSPOLAR OY;3387.67
KULKURI KULUNVALVONTA OY;294.0
KUMIJUSSI OY;226.0
KUMLINGE KOMMUN;70.0
KUNTA- JA HYVINVOINTIALUETYÖNA;17250.87
KUNTARAHOITUS OYJ;118710.75
KUNTOUTUSSÄÄTIÖ SR;225.0
KUOPION AUTO-OSAT OY;32.26
KUOPION SEIKKAILUKESKUS OY;4095.31
KUOPION WOODI OY;350.0
KUORTANEEN KAIVIN OY;1916.0
KUPARI DATA OY;3931.94
KUPARI SOLUTIONS OY;240.0
KUSTANNUS OY DUODECIM;647.81
KUUROJEN PALVELUSÄÄTIÖ;350.0
KUUSAKOSKI OY;-18070.99
KUUSAMON AUTOPALVELU OY;6965.01
KUUSAMON ERÄ-VEIKOT RY;371.65
KUUSAMON KAIVU- JA KAAPELIURAK;968.0
KUUSAMON KAUPUNKI;1408.35
KUUSAMON TALONPÖYTÄ OY;311.08
KUUSAMON TÄRPPI OY;200.0
KUUSAMON YHTEISMETSÄ;6545.14
KUUSMET OY;2452.86
KUUSMOTO KY;538.0
KVALITEAM OY;19941.08
KW-SET OY;815.0
KYLMÄKOMPPANIA OY;175.72
KYOCERA SENCO FINLAND OY;624.14
KYOCERA UNIMERCO TOOLING OY;356.96
Kiho Palvelut Oy;226.0
KÄRKKÄINEN OY;13746.34
KÄRKKÄINEN WEB OY;484.96000000000004
KÄRKÖLÄN SÄHKÖ OY;960.0
KÅRBACKEN RESTAURANG & EVENT A;6902.0
KÖÖKI CO. OY;1706.7
L&T TEOLLISUUSPALVELUT OY;21557.11
L&T YMPÄRISTÖPALVELUT OY;124652.32
LA FESTA ORIGINAL OY;462.51
LAARIN POHOJA OY;392.6
LAATUANTENNI OY;3765.15
LAATUVALAJAT OY;3380.2
LABROC OY;240.0
LADEK KY/INSINÖÖRITSTO LAKEUDE;9986.02
LAERDAL MEDICAL AS;288.0
LAHDEN AUTOPURKAMO OY;156.37
LAIKAS OY;9571.06
LAITESUUNNITTELU SAVELIUS OY;5010.82
LAKEUDEN AUTOMAALAAMO OY;380.0
LAKEUDEN HYDRO OY;102.51
LAKEUDEN KATSASTUS TAKATIE;371.64
LAKEUDEN KESKUSPUHDISTAMO;21464.579999999998
LAKEUDEN PALVELUYHDISTYS RY;960.0
LAMTEKNO OY;591.21
LAPIN HYVINVOINTIALUE;1436.0
LAPIN KUMI OY;1537.45
LAPIN MUURRE OY;480.0
LAPIN YMPÄRISTÖSUUNNITTELU OY;1522.0
LAPP AUTOMAATIO OY;107.11
LAPUAHOVI OY;168.74
LASSILA & TIKANOJA OYJ;508.0
LATAAMO GROUP OY;1510.0
LATEKOR OY;768.0
LAUREA-AMMATTIKORKEAKOULU OY;1500.0
LAVANDER KY;13195.99
LAWICO OY;7807.33
LAYHER OY;26336.16
LE BIHAN ENTERPRISESS OY;475.0
LEAWE OY;5080.0
LED FUTURE OY;2417.19
LEDFOIL FINLAND OY;5498.99
LEICA GEOSYSTEMS OY;13102.29
LEIPURIN OY;2113.0299999999997
LEKASA OY;904.0
LEKOLAR-PRINTEL OY;32116.85
LEM-KEM OY;1170.3
LENTÄVÄ LIITUTAULU OY;697.99
LEVIN MAJOITUS- JA OHJELMAPALV;200.0
LEVYPINTA FINLAND OY;2031.1200000000001
LEXCOM GMBH;516.0
LIEDON LÄMPÖ OY;200.0
LIIKENNE- JA VIESTINTÄVIRASTO;4667.9
LIIKENNETURVA;1600.0
LIIKENNEYHTIÖ NYKÄNEN OY;2766.0
LIIKUNTAKESKUS CORE OY;367.66999999999996
LIIKUNTAKESKUS VOITTO OY;110.0
LIIKUNTAKESKUS ZEMPPI OY;3505.55
LIIKUNTAPALVELUT/SIVISTYS- JA;240.0
LIITTÄJÄ TALOTEKNIIKKA OY;612.0
LIMINGAN KUITU OY;743.0799999999999
LIMINGAN KUNTA;860.0
LIMINGAN VESIHUOLTO OY;11883.47
LINDE GAS OY AB;60579.86
LINDSTRÖM OY;167895.23
LINTULAMMEN ASUKASYHDISTYS RY_;1400.0
LIONS CLUB HAUKIPUDAS/KELLO_X;130.0
LIONS CLUB PUDASJÄRVI HILIMAT;50.0
LIPPUPISTE OY;955.49
LOGSET OY;1659.79
LOHIKARI OY;422.22
LOIHE OY/ Ropo;35134.41
LOJER OY;984.24
LOUNASRAVINTOLA PALJETTI OY;941.75
LOWELL SUOMI OY;16.34
LP LAKKAPÄÄ OY;931.21
LUJATALO OY;452.0
LUKKARINOJA OY;119.0
LUKKOKESKUS OULU OY;432.0
LUMAST OY;452.0
LUMIA KEITTIÖT AY;5919.450000000001
LUMIJOEN 4H-YHDISTYS RY;140.0
LUMIJOEN KUNTA;1470.0
LUMITRANS OY;1968.0
LUMIXIA OY;25917.11
LUMO RAKENNUS OY;904.0
LUMONIA OY;280.0
LUOVA TYÖMAA OY;13548.32
LVI JONPEX OY;1340.0
LVI POHJANPOJAT OY;498.46000000000004
LVI VIRMA OY OULU;904.0
LVI-INSINÖÖRITOIMISTO MESKANEN;2106.0
LVI-PALVELU PITKÄLÄ OY;3144.0
LVI-SASTO OY;822.5
LVI-TAIVALKOSKI KY;545.22
LVI-TORVELA KY;1428.0
LVI-TYÖ MESKUS OY;261.25
LYRECO FINLAND OY;38865.84
LYYRAKS OY;452.0
LÄHITAPIOLA ETELÄ-POHJANMAA;3600.0
LÄHITAPIOLA LAPPI;1200.0
LÄHITAPIOLA PÄÄKAUPUNKISEUTU;2800.0
LÄHITAPIOLA SAVO-KARJALA KESKI;2419.35
LÄHITAPIOLA VELLAMO KESKINÄINE;2000.0
LÄMPÖ-JA KYLMÄASENNUS VÄLIMÄKI;600.0
LÄMPÖPUISTO OY;25957.36
LÄMPÖYKKÖNEN OY;600.0
LÄPILYÖNTI OY;6874.969999999999
M UUSITALO OY;738.0
M&M VIIHDEPALVELU OY;642.5
M&O HARWESTER KY;262.0
M-B OSA OY;475.88
M-TAVARATALO PUDASJÄRVI OY;441.14
M-TRAINING KY;576.61
M. NIINIMAA OY;300.0
MAA- JA METSÄTALOUSTUOTTAJAIN;665.0
MAAKASI OY;3300.0
MAALARIMESTARIEN OY;16083.65
MAALAUSLIIKE M. ANNOLA OY;400.0
MAALAUSPALVELUT KAAN OY;452.0
MAANRAKENNUS AAPPO LAITINEN KY;900.0
MAANRAKENNUS ALAMÄKI OY;2129.0
MAANRAKENNUS E. MAJAVA OY;400.0
MAANRAKENNUS J. PÄKKILÄ OY;984.0
MAANRAKENNUS KERÄNEN OY;4084.0
MAANRAKENNUS LOPAKKA OY;1200.0
MAANRAKENNUS OHTAMAA OY;1160.0
MAANRAKENNUS PEHITEK OY;200.0
MAANRAKENNUS RISTINEN OY;984.0
MAANRAKENNUS SIMILÄ OY;1100.0
MAANSIIRTO HOLAPPA OY;200.0
MAARAKENNUS ESKOLA OY;300.0
MAARAKENNUS KAMARA OY;984.0
MAARAKENNUS P. MANNINEN OY;4190.0
MAASEUDUN TYÖNANTAJALIITTO;110.0
MAATALOUSKONEHUOLTO R.UUTINEN;655.57
MAATALOUSYHT.KOKKONIEMI;1476.0
MAATALOUSYHTYMÄ KYTÖKORPI HANN;1044.0
MAATALOUSYHTYMÄ SAMMALKANGAS E;754.0
MAATILA KOKKO OY;200.0
MAATILA KONTINEN OY;657.89
MACHINERY MT OY;1404.01
MACHINERY OY;32205.0
MAINIOKODIT HOIVA OY;2292.0
MAINSERVICE OY;2119.8
MAITOPARRAT OY;1476.0
MAIVAKKA OY AB;727.84
MAKE HAIR OY;18143.23
MALLASPUOTI OY;144.05
MALMBERG-ELEKTRO OY;1085.24
MALMIN TERÄ OY;2295.72
MAMMUN HYVÄKAKKU OY;63.07
MANAGEMENT INSTITUTE FIN / II;133221.02
MARIMEKKO OYJ;96.77
MARKET4YOU OY / K-Market Kaste;252.99
MARKKINOINTI NIEMI-KORPI OY;1711.23
MARKKINOINTI TAPIO NYRÖNEN OY;4426.75
MARMATIN MAATILA OY;2768.42
MARTELA OYJ;42039.93
MARTTEN FINLAND OY;752.6
MASSER OY;369.9
MATEKO OY;4163.42
MATKAHUOLTO OY AB;154.88
MATTI LUOKKALA OY;740.0
MAUSTE-SALLINEN OY;5896.68
MCS FINLAND OY;407.76
MECPOINT OY;904.0
MECTALENT OY;3324.0
MED GROUP OY;4700.0
MEDIAMAISTERI OY;29742.670000000002
MEDIECO OY;209.0
MEDIFIN HEALTHCARE OY;404.0
MEDIQ SUOMI OY;6013.38
MEHILÄINEN HOIVAPALVELUT OY;160.0
MEHILÄINEN LÄNSI-POHJA OY;280.0
MEHILÄINEN OY / III;798839.34
MEHILÄINEN TERVEYSPALVELUT OY;7762.02
MEIRA NOVA OY;16153.36
MEKANER OY;380.65
MELTEX OY PLASTICS;470.0
MEP-Kuljetus Oy;3790.0
MERI-LAPIN LUKITUSPALVELU OY;81174.48
MERIKOSKI SBT RY;1200.0
MERIKRATOS OY;2462.15
MERILAPINSORA OY;200.0
MERILÄISEN LEIPOMO OY;50.0
MESVAC OY;3353.07
MET ÄS-SÄ OY;400.0
METALPOWER OY;50.0
METOS OY;58920.23
METSO FINLAND OY;9054.9
METSO OUTOTEC FINLAND OY;1356.0
METSÄ JA MAANRAKENNUS SIMOSKA;100.0
METSÄ-VEIKOT 85 RY;1250.0
METSÄHALLITUS;5764.34
METSÄHALLITUS METSÄTALOUS OY;246.0
METSÄKONE PIRINEN OY;2952.0
METSÄKOULUTUS RY;3500.0
METSÄLÄN TILA OY;1932.0
METSÄNHOITOYHDISTYS METSÄ-LAPP;276.0
METSÄPESÄLÄ OY;11128.0
METSÄTYÖ KONOLA OY;984.0
METSÄTYÖ NALLI OY;400.0
METSÄTYÖ OY;236.8
METSÄTYÖ TERVONEN OY;3626.0
METSÄURAKOINTI ERVASTI OY;1587.85
MG-DIESEL;1677.32
MIDNIGHT FORGE OY;55547.509999999995
MIELE OY;16770.63
MIELEN MAHDOLLISUUDET OY OULU;100.0
MIKKELI SIIVOTAAN OY;447.58
MIKKELIN ROMU OY;41.43
MILKKIS OY;904.0
MILLS ENTERPRISES LTD OY;7053.12
MILOMATIC OY;920.34
MIMOTO KY;278.26
MIRACULOS OY;12906.31
MITTA OY / KOULKORV;240.0
MITUTOYO SCANDINAVIA AB;1469.0
MJV PRO OY;200.0
MMT KONEURAKOINTI OY;980.0
MODEO OY;3780.0
MOLOK OY;450.0
MONETRA OULU OY;432563.65
MONIDOR OY;450.0
MONISTO OY;4424.82
MONITOIMIPAL. ELÄMÄNLANKA OY;341.94
MOTONET OY;1379.7
MOVET;260.99
MPT SERVICE OY;9227.11
MSP EVENT OY;377.63
MST CONSULTING OY;700.0
MT-FOREST OY;3520.0
MTC FLEXTEK OY AB;4400.0
MTECH DIGITAL SOLUTIONS OY;2107.79
MTH-KULJETUS OY;1948.0
MTY PETÄJÄMAA KARI PEKKA JA JO;904.0
MUHOKSEN BIOKULJETUS OY;6179.05
MUHOKSEN ELINTARVIKEKULJETUS O;183.75
MUHOKSEN KUNTA;280.0
MUHOKSEN LVI-PALVELU OY;28.71
MUHOKSEN VARAOSAKESKUS OY;41647.53
MUHOKSEN VESIHUOLTO OY;30763.370000000003
MULTITRONIC OY;3857.5
MURUVANA OY;1800.0
MUUTTOPALVELU GRUNDELL OY;2640.42
MVR S. ANNALA KY;4164.8
MYSTEPS OY;990.0
Moto Team Tauriainen Oy;2942.0
N-CLEAN OY N-CLEAN OULU;140.0
NA-TO LOGISTIIKKA OY;492.0
NAAVA GROUP OY;5158.21
NALLIKARI OY;574.25
NALLIKARI SEASIDE OY;0.0
NALLIKARI-TENNIS OY;29.09
NAPAPIIRIN KULJETUS OY;36455.97
NATURCOM OY;1682.0
NATUREST OY;254.39
NAUTATUULIA OY;1476.0
NCC SUOMI OY;904.0
ND GROUP OY;474.6
NELITUULIA OY;568.0
NELJÄ ASTETTA OY;840.0
NELLEN OY;416.47
NEOGAMES FINLAND RY;1200.0
NEPSY-OSAAJA OY;395.16
NESTE MARKKINOINTI OY;472337.27
NETOX OY;31108.46
NETPROFIT OY;7460.55
NEVAKIVI OY LINJA-AUTOLIIKENNE;18177.71
NEWPAAKKOLA OY;720.0
NEXUM OY;390.0
NIC - FINLAND OY;1291.0
NIILO MÄKI SÄÄTIÖ;1985.6
NIINA AHO OY;46.84
NISULA FOREST OY;388.52
NOBIA FINLAND OY;822.75
NOBINA OY;18000.0
NOETTA OY;80.0
NOMIS OY;400.0
NONNA NORTH OY;140.0
NORD WORKS OY OULU;678.0
NORDEX FINLAND OY;720.0
NORDIC JOBCENTRE OY;160.0
NORDIC SMART ENERGY OY;800.0
NORDIC TANK OY;532.0
NORDIC TELE SERVICE OY;572.0
NORDIC WOODLAND;2460.0
NORTHERN LIGHTS CHEERLEADING;1000.0
NOSTO JA KULJETUS MATTI;960.0
NOSTURIEXPERTIT OY;520.0
NOSTURILIIKE SULKALA OY;15567.09
NOVATRON OY;14532.98
NOVEMA OY;384.65
NRC GROUP FINLAND OY;1778.0
NSG SWEDEN AB;3105.46
NUOHOUS KIPINÄ OY;700.0
NUORISOSEUROJEN OULUN ALUEJÄ_X;500.0
NUORTEN YRITTÄJYYS JA TALOUS N;520.0
NUORTEN YSTÄVÄT R.Y.;3040.0
NURMINEN TOOLS OY;857.2
NURMON AUTOPURKAAMO OY;792.34
OAJ POHJOIS-POHJANMAA_X;320.0
OAT OY;125.0
OC TAITO OY;1195.22
OCOTEC OY;2712.0
OFFISTORE OY;1753.03
OHJELMAKAUPPA T & W OY;3400.0
OIKEUDENKÄYNTIAVUSTAJALAUTAKUN;433.0
OILSET OY;1905.35
OIVALTAMISPALVELUT OY;450.0
OJAN RAUTA OY;10019.05
OK VILLIRATAS OY/JUSSIN PYÖRÄP;498.81000000000006
OKT KOSTEUSTUTKIMUS OY;240.0
OKT TALOTEKNIIKKA OY;4158.0
OLIVIA INVEST OY;492.0
OLLIKAINEN AUTOMOTIVE OY;37.97
OLOKOTO OY;904.0
OMAN ELÄMÄN STARA OY;280.0
OMAPAJA OY;480.0
OMNIPRESS OY;159.09
OMPELIJANMAAILMA OY;361.05
OMPELUTALO KY;117.27
OMTEK OY;395.17
ONEMED OY;12856.2
ONKAMON KONEPAJA OY;1214.0
ONNINEN OY;78911.89
OOMI OY;72737.31
OP YRITYSPANKKI OYJ;1415377.37
OPETUS- JA KULTTUURIMINISTERIÖ;3250.0
OPETUSALAN AMMATTIJÄRJESTÖ OAJ;457.45
OPETUSHALLITUS;516903.18
OPPIMAA OY;55.0
OPTEAM YHTIÖT;4144.39
OPTIWATTI OY;285.12
ORAT OY;41000.0
OSAO EDU OY;811.11
OSK OULUPRO;55.0
OSUMA HENKILÖSTÖPALVELUT OY;392.0
OSUUSKAUPPA ARINA;13697.48
OSUUSKAUPPA ARINA/KOUL.KORV;2764.0
OSUUSKAUPPA KESKIMAA;119.36
OSUUSKAUPPA KPO;1713.6699999999998
OSUUSKAUPPA PEEÄSSÄ;1162.78
OSUUSKAUPPA SUUR-SAVO;245.22
OSUUSKUNTA RYNTÖTYO;700.0
OT URAKOINTI OY;100.0
OTAVAMEDIA OY;260.91
OUBUS OY;1500.0
OULAISTEN LIIKENNE OY;9072.0
OULU HINAUS OY;200.0
OULU SAFARIS OY;2778.95
OULUN 4H-YHDISTYS RY.;4660.0
OULUN AKKU OY;6428.73
OULUN ALUETAKSI OY;828.72
OULUN AMMATTIKORKEAKOULU OY;9424.08
OULUN AUTO- JA RENGASHUOLTO OY;2712.0
OULUN AUTOKULJETUS OY;7576.07
OULUN AUTOMAALIT OY;3970.13
OULUN AUTOMAATIOPALVELU OY A1;260.08
OULUN AUTOPISTE OY;550.0
OULUN AUTOTYÖ OY;880.0
OULUN BAARI OY;1696.44
OULUN BILJARDI OY;327.27
OULUN CAR-FIX OY;600.0
OULUN DIAKONISSALAITOKSEN SÄÄT;201.61
OULUN ENERGIA OY;1181654.42
OULUN ENERGIA SÄHKÖVERKKO OY;303501.42
OULUN EV.-LUT. SEURAKUNTAYHTYM;480.0
OULUN HERKUTTELUHETKI OY;180.0
OULUN HIRSISET OY;80.0
OULUN ILMATEK OY;62.0
OULUN JALKAPALLOHALLI OY;500.0
OULUN JARRUHUOLTO OY;828.1
OULUN JOUSIMIEHET RY;180.0
OULUN KAUPPAKAMARI ry;337.0
OULUN KAUPUNGINTEATTERI OY;782.89
OULUN KAUPUNKI;1096332.07
OULUN KAUPUNKI INFRA LIIKELAIT;4991.0
OULUN KEILAILUTALO OY;2845.35
OULUN KESKUSPESULA OY;295180.75
OULUN KOIVIKKO OY;1189.13
OULUN KONEKAUPPA OY;11.21
OULUN KONETYÖ OY;1470.0
OULUN KONGRESSITEKNIIKKA OY;110.0
OULUN KONTTIVUOKRAUS OY;600.0
OULUN KONTTIVUOKRAUS OY/ TRUST;10880.0
OULUN KORJAUSRAKENTAJAT OY;2832338.79
OULUN KORU OY;100.0
OULUN KOULUMUSIIKINTUKI RY;600.0
OULUN KUIVAUSTEKNIIKKA OY;2952.0
OULUN KUKKATOIMITUS/HELSINGIN;24203.94
OULUN KULTTUURISÄÄTIÖ SR;390.0
OULUN KÄRPÄT 46 RY;893.5
OULUN KÄRPÄT 46 RY E209;300.0
OULUN KÄRPÄT 46RY/ KOULKORV;305.0
OULUN KÄRPÄT OY;5864.77
OULUN KÄRRYHUOLTO OY;2355.73
OULUN LAITEHUOLTO OY;18204.04
OULUN LASERMERKINTÄ AVOIN YHTI;1500.76
OULUN LASIPALVELU OY;890.89
OULUN LIHA- JA KALAKAUPPA OY;480.0
OULUN LOHET RY;150.0
OULUN LOISTOSÄHKÖ OY;3314.0
OULUN LUISTELUKERHO RY;300.0
OULUN LUISTINSEURA RY;2000.0
OULUN LUKITUSTEKNIIKKA OY;432.0
OULUN LÄMPÖPUTKITUS OY;3842.0
OULUN MAA- JA VESIRAKENNUS OY;5372.0
OULUN MAINOSKESKUS OY /RIVERTY;33511.94
OULUN METSÄSTYS- JA AMPUMA-x;105.0
OULUN NAHKA-AITTA KY;123.5
OULUN NAISFUTIS RY;1000.0
OULUN NMKY RY;815.0
OULUN PAINEILMAPALVELU OY;6576.34
OULUN PALAMETALLI OY;2433.92
OULUN PALVELUSÄÄTIÖ;70.0
OULUN PIHARAKENNUS OY;1812.0
OULUN POLIISILAITOS;38.0
OULUN PUTKISEPÄT OY;80.0
OULUN REGGIO EMILIA KANNATUSYH;560.0
OULUN REMONTTI IDEA OY;80.0
OULUN SEUDUN KIINTEISTÖPALVELU;700.0
OULUN SEUDUN SÄHKÖ;457068.79
OULUN SEUDUN SÄHKÖ KUITU OY;1310.16
OULUN SEUDUN SÄHKÖ VERKKOPALVE;167947.38999999998
OULUN SEUDUN TELE & AUDIO OY;199.18
OULUN SEUDUN UUSYRITYSKESKUS R;4000.0
OULUN SEUDUN YMPÄRISTÖTOIMI LI;3436.99
OULUN STEINERPÄIVÄKODIN KANNAT;770.0
OULUN SÄHKÖ OPTIMA OY;640.0
OULUN SÄHKÖ- JA TELETEKNIIKKA;226.0
OULUN SÄHKÖDIESEL OY;76.12
OULUN TELESCAN OY;2001.01
OULUN TEOLLISUUSKOJEISTOT OY;288.5
OULUN TERÄHUOLTO OY;1020.1600000000001
OULUN TESTIKUVA L. TIUSANEN KY;614.62
OULUN TILAPALVELUT LIIKELAITOS;500.0
OULUN TRAKTORI JA KONEHUOLTO O;16449.9
OULUN TUOTANTOKEITTIÖ OY;2612.0
OULUN TYÖSTÖKONEHUOLTO OY;3707.25
OULUN VESI LIIKELAITOS;85123.15
OULUN VIHERPALVELU KY;3435.34
OULUN VIIHDEMIXERI KY;300.0
OULUN YLIOPISTO;115142.1
OULUN YRITTÄJÄT RY_x;2000.0
OULUNSALON PALLO RY;400.0
OULUNSALON VASAMA RY;1500.0
OULUNSEUDUN AUTOHUOLTO OY KEMP;737.16
OUNASPUU OY;1195.22
OY ATLAS COPCO KOMPRESSORIT AB;1288.0
OY CONAXESS TRADE FINLAND AB;1242.1
OY DIABET AB;211.37
OY ER FINLAND AB;3906.0
OY ERGOLIFT AB;152.0
OY HAKO GROUND & GARDEN AB;80.79
OY HÅROLOGI FINLAND AB;1497.01
OY INTERFII LTD;2325.6
OY KAHA AB;11835.4
OY KC SUOMI & CO;462.9
OY S.-0. OLENIUS AB;419.13
OY SINEBRYCHOFF AB;-2074.42
OY SL-GOODS AB;35.5
OY TEO-PAL AB;1853.2
OY VAASAN AMMATTIKORKEAKOULU;260.0
OY VIIMA INN LTD;19997.0
OY YLIVOIMALA AB;45137.09
P-K KOULUTUSKUNTAYHTYMÄ RIVERI;100.0
P-POHJANMAAN LYPSYKARJAKERHO;35.0
PAAVOLAN TURVE KY;768.0
PADEL UNO OY;246.66000000000003
PAHAMA OY;2792.0
PAIKALLIS-SÄHKÖ;740.0
PAJALAHTI TRADING OY;217.85
PALPA LASI OY;-86.58
PALVELUKOTI ALMA OY;216.0
PAMARK BUSINESS OY;5013.49
PARKETTILIIKE SÄKKINEN OY;14295.789999999999
PARKHOTEL TORNIO;649.99
PARMA OY;1650.0
PARTIOAITTA OY;500.0
PARTUS OY;205.89
PATENIEMEN KODINKONEHUOLTO KY;1774.94
PATENTTI- JA REKISTERIHALLITUS;28.5
PAYTRAIL OYJ;780.6
PE-FORSS OY;738.0
PEDATA OY;10764.95
PEIPOHJAN AUTOVARUSTE AY;250.0
PEKANT OY;25660.83
PEKAVA OY;2028.01
PEKKANISKA OY;200.0
PEL-TUOTE OY;1028.39
PELASTUSOPISTO;30000.0
PELI-BUNKKERI OY;695.9300000000001
PELLOPLAST OY;326.1
PELTIMYLLY OY;4173.88
PELTIPAJA KOVALAINEN OY;12580.7
PEMAN OY;23410.41
PENAN RAUDOITUS OY;1582.0
PENOPE OY;4535.34
PENSIKKO OY;246.0
PEPRON COLLABORATION SERVICES;11465.03
PEREL OY;6697.74
PERI SUOMI LTD OY;24.7
PERTIK OY TAPIOLA;1093.5
PESIÖLÄ OY;28.23
PHARMADOS OY;1634.0
PHARMAPRESS OY;31.45
PHENOMENEX APS;978.6
PIAKO OY;630.0
PIHKA FOREST OY PYHÄNTÄ;400.0
PIHKATAPPI OY;738.0
PIHLA GROUP OY;1372.68
PIHLAJA CATERING OY;1825.6200000000001
PIHLAJALINNA LÄÄKÄRIKESKUKSET;93.02
PIIRLA OY;362.33
PIKKU-SYÖTE GROUP OY;960.64
PILKE PÄIVÄKODIT OY;700.0
PILKINGTON AUTOGLASS OY;171.85
PIRKANMAAN ELY-KESKUS;433.53999999999996
PIRTIN KEHRÄÄMÖ OY;706.77
PITSTOP FINLAND OY;452.0
PK GAMES OY;176.36
PLANDENT OY;656.26
PLANMECA OY;630.0
PLC-AUTOMATION OY;13550.0
PM INVEST OY;2034.0
POCAL OY;284.17
POHJANMAAN OPINTO-OHJAAJAT RY;200.0
POHJANMAAN RASKASVARUSTE OY;10.0
POHJASET OY;1476.0
POHJASET RECYCLING OY;396.0
POHJOIS POHJANMAAN LVI1 OY;429.0
