Toimittaja;Osto
BLT AMMUNET OY;15149.05
BOLIDEN KEVITSA MINING OY;1176.0
BOOKY.FI OY;105.27
BOS TAURUS OY;2962.32
BOSCH REXROTH OY;47012.99
BOSNA OY;439.05999999999995
BOULIS OY;1100.1399999999999
BPW KRAATZ OY;1419.6100000000001
BRAND ID OY;641.6
BRANG OY;1774.96
BRAVIDA FINLAND OY;3858.0
BRIGHTPLUS OY;480.0
BROAD SCOPE MANAGEMENT CON. OY;21999.879999999997
BROCOVER OY;226.0
BRÄNDIUNELMIA NYT;700.0
BUILDERCOM OY;51524.81
BUNGALOWPARK HET VERSCHOLEN DO;4664.8
BUSINESSOULU LIIKELAITOS;23182.46
BUSRENTFINLAND OY;15000.0
BV-METALLI OY;24395.22
BYSTRONIC SCANDINAVIA AB;216.7
C&Q SYSTEMS OY;6706.46
C. E. LINDGREN OY;11000.0
CAB GROUP AB;1000.0
CACTOS OY;2802.0
CADWORKS OY;875.0
CAFE ROOSTER OY;852.71
CAMCUT OY;12214.67
CAMP SCANDINAVIA OY;323.59
CANON OY;1643.11
CAPSE OY;360.0
CARDPLUS OY;241.0
CAREER PARTNERS OY;607.0
CARELSOFT OY;480.0
CARGOTEC FINLAND OY;2289.0
CARLACOM OFFICE OY;7737.17
CARROT RAKENNUS OY;160.0
CARUNA OY;2734.31
CATELLA PROPERTY OY;4500.0
CAVERION INDUSTRIA OY;400.0
CAVERION SUOMI OY;496646.56
CENIC FINLAND OY;1500.0
CERUUS OY;210.0
CGI SUOMI OY;7255.51
CHEMPOLIS OY;560.0
CHEZ MARIUS OY;841.04
CHG-MERIDIAN FINLAND OY;18477.35
CHILLER OY;13899.06
CHOCOSOMNIA OY;42.11
CINIA OY;7646.43
CLAS OHLSON OY;410.86
CLOUDIA OY;47261.0
COMBI COOL OY AB;1012.75
COMMUNICATION PRO OY AB;5940.0
COMPASS GROUP FINLAND OY;719709.6
COMPUTER PROGRAM UNIT OY;51270.09
CONDAIR OY;2437.27
CONLOG OY;4452.0
CONSTI KORJAUSRAKENTAMINEN OY;662.0
CONSULT LADY KY;628.86
COPART SUOMI OY;12923.67
CORA REFINISH OY;46969.6
CORONARIA CAJANUKSENTIENKOTI O;496.0
CORONARIA OY;1460.0
COSS RY Suomen avoimen tietoj;3240.0
CRAMO FINLAND OY;2201.08
CRAYON OY;198828.6
CREATENERGY OY;1020.32
CRNET OY;2150.0
CRS LABORATORIES OY;960.0
CUTRIN OY;1723.74
DA-PU HAUTAUSPALVELU OY;42.0
DAHL SUOMI OY;106153.89
DAT-SCHAUB FINLAND OY;39.91
DATADRIVERS OY;12998.85
DAYTON OY;23.86
DE GAMLAS HEM RESORT OY;771.9300000000001
DE LAVAL OY AB;29845.01
DECANTER OY DECANTER FINLAND;48.39
DEFONDO OY;100.0
DEKO MEDTECH OY;225.9
DEKRA INDUSTRIAL OY;669.28
DELTA AUTO OY;226.0
DELTABIT OY;234.25
DENSTAL OY;440.0
DEPEND COSMETIC OY;531.28
DESIGN INSPIS OY;150.0
DESTO OY;226.0
DEVOCA OY;5217.95
DIAGNO FINLAND OY;15997.85
DIETA OY;32980.23
DIGI- JA VÄESTÖTIETOVIRASTO;1000.0
DINAIR CLEAN AIR OY;85740.5
DINOX SPORT OY;103.14
DISAR OY;5987.14
DISCOLAND OY;135.92
DITER OY;485.87
DNA OY;103011.41
DNA OYJ;1268.49
DNA WELHO OY;2249.82
DOGSTOP OY;175.62
DOKUMENT-TARRA OY;3635.3599999999997
DOMUS CLASSICA OY;97.98
DRINK CONSULT FINLAND OY;126.04
DRÄGER SUOMI OY;630.21
DS-DESING SYSTEMS OY;990.0
DUNI OY / II;49559.5
DUO INTERIOR OY;21178.0
DUSTIN FINLAND OY;65406.57
DYNAMO OULU RY;450.0
E K GROUP OY;1176.0
E.AHLSTRÖM OY;7869.95
E.HARTIKAINEN OY;562.0
EASY ACCESS OY;1883.16
ECOLAB OY AB;384.0
ED-MARK OY;136.29999999999998
EDEN SPRINGS OY FINLAND;4175.78
EDENRED FINLAND OY;929.21
EDILEX LAKITIETO OY;506.0
EDITA OPPIMINEN OY;113.55
EDITA PUBLISHING OY;1667.74
EDU-SIGNAALI OY;6617.61
EDUHOUSE OY;12231.0
EEPIKO KY;224.0
EERO SJÖRGEN OY;492.0
EEROLA YHTIÖT OY;6223.51
EFFECTIO OY;210.0
EFVET CENTRAL OFFICE;1410.0
EG SOFTWARE FINLAND OY;9795.72
EHKÄISEVÄ PÄIHDETYÖ EHYT RY;1560.0
EKOVILLA OY;880.0
ELBIO KY;188.16
ELECTRIC POWER FINLAND OY;2400.0
ELECTROLUX PROFESSIONAL OY;6600.0
ELECTUDE INTERNATIONAL BV;4600.0
ELEHUOLTO OY;991.9000000000001
ELEMED OY;412.6
ELGOOD OY;814.85
ELISA OYJ;15571.69
ELPAC OY;30.0
ELTEL NETWORKS POHJOINEN OY;890.0
ELVAK SERVICE OY;8962.14
ELVERA OY;2470.0
ELÄINTEN TERVEYS ETT RY;35.0
ELÄMYS TRAVEL DESIGN OY;17723.81
EMS CONSULTING OY;135.01
ENENDE OY;112.28
ENERGIA VALTTI OY;250.0
ENERGIAVIRASTO;3000.0
ENTISÖINTITYÖ KAUPPILA KY;241.94
EPASSI FINLAND OY / EPASSI PAY;202825.01
EPIC AUTOKOULU OY;77681.37
EPTA FINLAND OY;600.0
EQUIPEOPLE LTD;1225.0
ER-PAKKAUS OY;4733.88
ER-WO OY;560.0
ERASMUS LEARNING ACADEMY S.L.U;2540.0
ERGO PRO OY;4200.01
ERGONOVITA OY;241.13
ERIKSSONS VERKSTAD AB;199.03
